Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
1276,0.000100,0.022924,0.021926,0.376701,0.367891,3.036736,2.019481,0.020033,0.019296,0.155690,0.152543,0.829983,0.652112,0.000526,0.000481,0.047301,0.045115,1.536961,0.679717,0.063196,0.052393
1276,0.000100,0.023603,0.022687,0.378366,0.371505,3.131002,2.042629,0.020770,0.020068,0.156337,0.153927,0.850098,0.659088,0.000557,0.000515,0.047720,0.046005,1.633862,0.695389,0.064616,0.053474
1276,0.000100,0.023603,0.022687,0.378366,0.371505,3.131003,2.042626,0.020770,0.020068,0.156337,0.153927,0.850098,0.659086,0.000557,0.000515,0.047720,0.046005,1.633864,0.695387,0.064616,0.053474
